starttime,speed,volume
"4/1/2014 12:00 am",53.59,847
"5/1/2014 12:00 am",55.13,943
"6/1/2014 12:00 am",53.76,805
"7/1/2014 12:00 am",52.18,842
"8/1/2014 12:00 am",53.57,728
"9/1/2014 12:00 am",53.41,329
"10/1/2014 12:00 am",53.98,867
"11/1/2014 12:00 am",55.04,669
"12/1/2014 12:00 am",52.70,873
"1/1/2015 12:00 am",54.93,900
"2/1/2015 12:00 am",54.46,855
"3/1/2015 12:00 am",55.33,242
"4/1/2015 12:00 am",54.33,549
"5/1/2015 12:00 am",55.87,870
"6/1/2015 12:00 am",54.71,49
"7/1/2015 12:00 am",,
"8/1/2015 12:00 am",,
"9/1/2015 12:00 am",,
"10/1/2015 12:00 am",,
"11/1/2015 12:00 am",,
"12/1/2015 12:00 am",,
"1/1/2016 12:00 am",,
"2/1/2016 12:00 am",,
"3/1/2016 12:00 am",,
"4/1/2016 12:00 am",,
"5/1/2016 12:00 am",,
"6/1/2016 12:00 am",,
"7/1/2016 12:00 am",,
"8/1/2016 12:00 am",,
"9/1/2016 12:00 am",,
"10/1/2016 12:00 am",,
"11/1/2016 12:00 am",,
"12/1/2016 12:00 am",,
"1/1/2017 12:00 am",,
"2/1/2017 12:00 am",,
"3/1/2017 12:00 am",,
"4/1/2017 12:00 am",,
"5/1/2017 12:00 am",,
"6/1/2017 12:00 am",,
"7/1/2017 12:00 am",,
"8/1/2017 12:00 am",,
"9/1/2017 12:00 am",,
"10/1/2017 12:00 am",,
"11/1/2017 12:00 am",,
"12/1/2017 12:00 am",,
"1/1/2018 12:00 am",,
"2/1/2018 12:00 am",53.37,727
"3/1/2018 12:00 am",49.94,29
"4/1/2018 12:00 am",52.99,685
"5/1/2018 12:00 am",52.67,689
"6/1/2018 12:00 am",49.52,480
"7/1/2018 12:00 am",,
